Region,Fuel,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
US,Nuclear,0.04,0.06,0.08,0.13,0.15,0.23,0.41,0.58,0.90,1.23,1.85,2.05,2.70,2.97,2.74,2.70,2.93,3.04,3.16,3.52,4.13,4.45,4.90,5.67,5.69,6.20,6.59,6.65,6.56,6.89,7.24,7.26,6.76,7.24,7.83,8.11,8.21,8.28,8.05,8.26,8.14,8.15,8.29,8.24,8.11,8.14,7.93,7.67,7.82,7.85,7.81,7.84,7.79,7.76,7.76,7.54,7.40
Central_and_South_America,Nuclear,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.06,0.09,0.06,0.08,0.07,0.07,0.10,0.09,0.09,0.08,0.08,0.10,0.10,0.11,0.11,0.11,0.12,0.22,0.20,0.21,0.19,0.17,0.21,0.19,0.21,0.20,0.21,0.21,0.21,0.20,0.20,0.20,0.22,0.20,0.21,0.22,0.22,0.23
Europe,Nuclear,0.20,0.26,0.31,0.35,0.42,0.46,0.52,0.69,0.76,0.89,1.19,1.39,1.65,1.85,2.07,2.42,3.27,3.60,4.25,5.40,7.10,7.55,7.85,8.64,9.06,9.14,9.38,9.44,9.81,9.73,9.98,10.54,10.65,10.56,10.63,10.71,10.98,11.05,11.07,11.18,10.98,10.89,10.31,10.24,9.69,9.90,9.76,9.46,9.29,9.29,9.01,8.71,8.61,8.56,8.47,7.56,7.98
CIS,Nuclear,0.02,0.02,0.02,0.03,0.04,0.04,0.06,0.10,0.15,0.22,0.29,0.39,0.52,0.54,0.61,0.76,0.89,1.02,1.14,1.47,1.07,1.10,1.32,1.43,1.41,1.21,1.23,1.23,1.22,1.00,1.02,1.14,1.13,1.08,1.27,1.36,1.41,1.45,1.53,1.46,1.51,1.56,1.59,1.61,1.60,1.66,1.67,1.70,1.65,1.71,1.84,1.84,1.89,1.89,1.92,1.99,2.08
Middle_East,Nuclear,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.03,0.06,0.06,0.06,0.06,0.07,0.13
Africa,Nuclear,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.06,0.11,0.11,0.09,0.09,0.09,0.07,0.10,0.12,0.12,0.13,0.14,0.13,0.13,0.11,0.12,0.13,0.13,0.11,0.10,0.11,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.11,0.14,0.13,0.11,0.12,0.13,0.09
China,Nuclear,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.15,0.13,0.15,0.15,0.14,0.15,0.17,0.18,0.25,0.43,0.50,0.53,0.54,0.61,0.66,0.68,0.72,0.83,0.93,1.05,1.25,1.59,1.97,2.28,2.70,3.18,3.32,3.68
India,Nuclear,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.04,0.05,0.05,0.05,0.06,0.04,0.07,0.06,0.07,0.06,0.05,0.08,0.09,0.10,0.12,0.13,0.16,0.19,0.20,0.18,0.21,0.18,0.17,0.17,0.15,0.16,0.22,0.31,0.31,0.31,0.32,0.36,0.35,0.34,0.36,0.41,0.40,0.40
Asia_Pacific_excluding_India_and_China,Nuclear,0.00,0.01,0.01,0.01,0.01,0.05,0.08,0.10,0.10,0.21,0.26,0.35,0.33,0.66,0.82,0.96,1.04,1.22,1.45,1.75,2.10,2.26,2.67,2.50,2.67,2.87,3.07,3.15,3.48,3.60,3.98,4.17,4.44,4.63,4.68,4.78,4.77,4.79,4.01,4.56,4.77,4.87,4.54,4.32,4.50,4.65,3.47,2.00,1.88,1.90,1.95,2.00,1.91,2.01,2.30,2.22,2.38
World,Nuclear,0.26,0.35,0.42,0.53,0.63,0.81,1.12,1.55,2.08,2.72,3.78,4.42,5.50,6.39,6.65,7.27,8.59,9.32,10.56,12.82,15.21,16.29,17.72,19.32,19.87,20.43,21.41,21.58,22.32,22.74,23.72,24.59,24.42,24.84,25.78,26.36,26.93,27.19,26.46,27.49,27.39,27.56,26.83,26.58,26.04,26.55,25.28,23.40,23.45,23.78,23.96,24.17,24.25,24.68,25.46,24.44,25.31
